id,name,description,code,icon,type,gender,uniform_class,color_normal,color_0,color_1,color_2,color_3,color_4,skill_id,bone_name,rotation,scale,position,color_icon_id
1620,出街必备道具,今天阳光很刺眼，但是我有墨镜，我会帅的更耀眼。,HeadAcco,commander_1620_icon,2,0,16,Commander_1620_N,Commander_1620_0,Commander_1620_1,Commander_1620_2,Commander_1620_3,Commander_1620_4,0,FaceBinder,0,0.2,"-0.012,0.471","138,139,140,141,142,143"
1631,大哥的必胜棒球衫,君临顶点的人当然会是引领时尚的人，如果这不是时尚，我就把它变成时尚。,Body1,commander_1631_icon,3,1,16,Commander_1631_N,Commander_1631_0,Commander_1631_1,Commander_1631_2,Commander_1631_3,Commander_1631_4,0,,0,0.0,,"144,145,146,147,148,149"
1632,大姐的无敌中间服,按说好的，我把这批时尚引领者都打趴下了，所以现在我就是新的时尚达人。,Body2,commander_1632_icon,3,2,16,Commander_1632_N,Commander_1632_0,Commander_1632_1,Commander_1632_2,Commander_1632_3,Commander_1632_4,0,,0,0.0,,"150,151,152,153,154,155"
1640,不良的臻品玩具,全新碳纤维构造！优雅设计！极致手感！真实反馈！为哪怕摸黑也要在夜晚戴墨镜的你量身打造！新品大促钅,BodyAcco,commander_1640_icon,4,0,16,Commander_1640_N,Commander_1640_0,Commander_1640_1,Commander_1640_2,Commander_1640_3,Commander_1640_4,0,BodyBinder1,0,0.2,"-0.055,0.041","156,157,158,159,160,161"
1651,赢过团战的牛仔裤,学会尊重前辈的第一步，从穿着前辈的牛仔裤去打团战开始！,Foot1,commander_1651_icon,5,1,16,Commander_1651_N,Commander_1651_0,Commander_1651_1,Commander_1651_2,Commander_1651_3,Commander_1651_4,0,,0,0.0,,"162,163,164,165,166,167"
1652,横扫学院街的飞腿,这些旧规则都是扯淡，看我用我无敌的飞腿把它们统统踹烂！,Foot2,commander_1652_icon,5,2,16,Commander_1652_N,Commander_1652_0,Commander_1652_1,Commander_1652_2,Commander_1652_3,Commander_1652_4,0,,0,0.0,,"168,169,170,171,172,173"
1720,万圣诡月·传说头饰,仅在万圣节出现的神秘头饰，据说每一个头饰背后都有一个恐怖的传说……,HeadAcco,commander_1720_icon,2,0,17,Commander_1720_N,Commander_1720_0,Commander_1720_1,Commander_1720_2,Commander_1720_3,Commander_1720_4,0,HairBinder2,0,0.2,"-0.152,0.227","174,175,176,177,178,179"
1811,精致卷发,精心打扮的发型，让大家见识下与平时不一样的自己吧。,Head1,commander_1811_icon,1,1,18,Commander_1811_N,Commander_1811_0,Commander_1811_1,Commander_1811_2,Commander_1811_3,Commander_1811_4,0,,0,0.0,,"180,181,182,183,184,185"
1812,活力马尾,绑上马尾，曾经的回忆再次浮现在心中——那个爱学习、爱念叨，也爱暴力的活力班长，现在怎么样了呢？,Head2,commander_1812_icon,1,2,18,Commander_1812_N,Commander_1812_0,Commander_1812_1,Commander_1812_2,Commander_1812_3,Commander_1812_4,0,,0,0.0,,"186,187,188,189,190,191"
1820,派对头饰,难以融入大家？那么就来办派对吧！戴上它们，加入派对——注意到了吗，有些东西是不接近他人就无法察觉到的哦。,HeadAcco,commander_1820_icon,2,0,18,Commander_1820_N,Commander_1820_0,Commander_1820_1,Commander_1820_2,Commander_1820_3,Commander_1820_4,0,HairBinder2,0,0.2,"-0.043,0.463","192,193,194,195,196,197"
1831,御寒大衣,抵御寒风，亦抵御强敌。厚实的皮革带来的不止是温暖，还有安全感。,Body1,commander_1831_icon,3,1,18,Commander_1831_N,Commander_1831_0,Commander_1831_1,Commander_1831_2,Commander_1831_3,Commander_1831_4,0,,0,0.0,,"198,199,200,201,202,203"
1832,保暖外套,由内而外的温暖足以沁人心脾。面对挑战之前，首先要做好充足的准备，万无一失。,Body2,commander_1832_icon,3,2,18,Commander_1832_N,Commander_1832_0,Commander_1832_1,Commander_1832_2,Commander_1832_3,Commander_1832_4,0,,0,0.0,,"204,205,206,207,208,209"
1840,待送惊喜,将礼物背在身上，为他人送去惊喜吧，但是可千万不能摔了……重新整理可是很麻烦的。,BodyAcco,commander_1840_icon,4,0,18,Commander_1840_N,Commander_1840_0,Commander_1840_1,Commander_1840_2,Commander_1840_3,Commander_1840_4,0,BodyBinder1,0,0.2,"-0.392,0.476","210,211,212,213,214,215"
1851,耐磨长裤,首先是保暖，其次是结实！无论何时何地都可以全力以赴地行动，用热血熔化寒冬。,Foot1,commander_1851_icon,5,1,18,Commander_1851_N,Commander_1851_0,Commander_1851_1,Commander_1851_2,Commander_1851_3,Commander_1851_4,0,,0,0.0,,"216,217,218,219,220,221"
1852,冬季热裤,有勇无谋者令人唏嘘，敢于挑战者方为勇士……搭配冬季神器使用，无懈可击。,Foot2,commander_1852_icon,5,2,18,Commander_1852_N,Commander_1852_0,Commander_1852_1,Commander_1852_2,Commander_1852_3,Commander_1852_4,0,,0,0.0,,"222,223,224,225,226,227"
1911,清新短碎发,清新风格的短碎发造型，小小的改变，却可能是某种邂逅的开始。,Head1,commander_1911_icon,1,1,19,Commander_1911_N,Commander_1911_0,Commander_1911_1,Commander_1911_2,Commander_1911_3,Commander_1911_4,0,,0,0.0,,"228,229,230,231,232,233"
1912,朝气双马尾,给人眼前一亮的双马尾造型，稍许没平时那么文静，但是却多了一份新奇，快让人形们看看指挥官的新造型吧。,Head2,commander_1912_icon,1,2,19,Commander_1912_N,Commander_1912_0,Commander_1912_1,Commander_1912_2,Commander_1912_3,Commander_1912_4,0,,0,0.0,,"234,235,236,237,238,239"
1920,祈年头饰,这一天，人们祈祷来年的丰收，享受和亲人的团聚，这份热盼的心情曾让人们茫然不知其名……直到爱人或友人重新踏上旅途，目送着他们离开的人们立刻明白了自己的心情——祈望，愿来年也平平安安一切顺利。,HeadAcco,commander_1920_icon,2,0,19,Commander_1920_N,Commander_1920_0,Commander_1920_1,Commander_1920_2,Commander_1920_3,Commander_1920_4,0,HairBinder2,0,0.2,"-0.075,0.309","240,241,242,243,244,245"
1931,守岁短褂,打扫房间，整理旧物，过去的事物会督促着人们前行，当然也可能会束缚着人们——那么在守岁的这天沉浸在回忆里吧，思考身在何处也是十分必要的。,Body1,commander_1931_icon,3,1,19,Commander_1931_N,Commander_1931_0,Commander_1931_1,Commander_1931_2,Commander_1931_3,Commander_1931_4,0,,0,0.0,,"246,247,248,249,250,251"
1932,贺年旗袍,以传统旗袍风格制作的指挥官服饰，御寒能力并没有下降，因为特地附上的围巾有着保暖功能……当然围巾会飞起来弄坏发型只是意外。,Body2,commander_1932_icon,3,2,19,Commander_1932_N,Commander_1932_0,Commander_1932_1,Commander_1932_2,Commander_1932_3,Commander_1932_4,0,,0,0.0,,"252,253,254,255,256,257"
1940,迎福饰物,迎阳春，福瑞年，拿上老一辈们传承给自己的饰物，出门和大家道一声新年快乐吧！,BodyAcco,commander_1940_icon,4,0,19,Commander_1940_N,Commander_1940_0,Commander_1940_1,Commander_1940_2,Commander_1940_3,Commander_1940_4,0,BodyBinder1,0,0.2,"-0.034,-0.014","258,259,260,261,262,263"
1951,加厚长裤,为抵御寒流特别加厚的裤子，你可以放心地穿着它挑战风雪……或是摔炮。,Foot1,commander_1951_icon,5,1,19,Commander_1951_N,Commander_1951_0,Commander_1951_1,Commander_1951_2,Commander_1951_3,Commander_1951_4,0,,0,0.0,,"264,265,266,267,268,269"
1952,高跟单鞋,经过特别改良的高跟单鞋，即使穿一天也不会让人产生疲劳感……抱歉，是不会让人形产生疲劳感。,Foot2,commander_1952_icon,5,2,19,Commander_1952_N,Commander_1952_0,Commander_1952_1,Commander_1952_2,Commander_1952_3,Commander_1952_4,0,,0,0.0,,"270,271,272,273,274,275"
2010,盐渍头,不想再继续努力下去了？想要过上不再有黑眼圈的生活？再加把劲吧！工作马上就结束了！,Head,commander_2010_icon,1,0,20,Commander_2010_N,,,,,,0,,0,0.0,,276
2111,随性短发,把头发从发胶中拯救出来时，大脑也会随之放松下来。,Head1,commander_2111_icon,1,1,21,Commander_2111_N,Commander_2111_0,Commander_2111_1,Commander_2111_2,Commander_2111_3,Commander_2111_4,0,,0,0.0,,"278,279,280,281,282,283"
2112,放松披肩发,放开束发绳时，思维也会跟着散开。,Head2,commander_2112_icon,1,2,21,Commander_2112_N,Commander_2112_0,Commander_2112_1,Commander_2112_2,Commander_2112_3,Commander_2112_4,0,,0,0.0,,"284,285,286,287,288,289"
2120,助眠帮手,虽然它们其实并不能让你睡着，但至少可以欺骗你的大脑：没错，我要睡了。,HeadAcco,commander_2120_icon,2,0,21,Commander_2120_N,Commander_2120_0,Commander_2120_1,Commander_2120_2,Commander_2120_3,Commander_2120_4,0,HairBinder2,0,0.2,"-0.040,0.302","290,291,292,293,294,295"
2131,丝质睡眠衬衫,丝绸的价值不止在触感，还有价格带来的安心：看，这是我努力工作换来的！无论是松散的衣装，还是可以放松的时间。,Body1,commander_2131_icon,3,1,21,Commander_2131_N,Commander_2131_0,Commander_2131_1,Commander_2131_2,Commander_2131_3,Commander_2131_4,0,,0,0.0,,"296,297,298,299,300,301"
2132,丝质家居长衣,丝绸的价值不止在价格，还有触感带来的安心：只要在这里、穿着这件衣服，我就不必在意他人的目光，追求放松就好。,Body2,commander_2132_icon,3,2,21,Commander_2132_N,Commander_2132_0,Commander_2132_1,Commander_2132_2,Commander_2132_3,Commander_2132_4,0,,0,0.0,,"302,303,304,305,306,307"
2140,妙想软枕,无论人们的寿命多么长久，都不过是星球最末辈的孩子。坦率地面对自己只在有所依靠的时候才能够安睡的事实，然后抱住这个吧。,BodyAcco,commander_2140_icon,4,0,21,Commander_2140_N,Commander_2140_0,Commander_2140_1,Commander_2140_2,Commander_2140_3,Commander_2140_4,0,BodyBinder1,0,0.2,"-0.034,-0.014","308,309,310,311,312,313"
2151,丝质睡裤,很多时候裤子是不必要的，但穿着它也没什么不好；至少在外卖员发了疯一样捶打你的门时，你不必满床寻找一条可以遮羞的布料。,Foot1,commander_2151_icon,5,1,21,Commander_2151_N,Commander_2151_0,Commander_2151_1,Commander_2151_2,Commander_2151_3,Commander_2151_4,0,,0,0.0,,"314,315,316,317,318,319"
2152,棉绒短袜,很多时候裤子是必要的，但不穿也没什么不好；为什么要在私人领地里为了别人的目光多此一举呢？袜子可比裤子舒服多了。,Foot2,commander_2152_icon,5,2,21,Commander_2152_N,Commander_2152_0,Commander_2152_1,Commander_2152_2,Commander_2152_3,Commander_2152_4,0,,0,0.0,,"320,321,322,323,324,325"
2220,纷享王冠,如果感到快乐就吃甜甜圈，吧唧吧唧！如果感到难过就吃冰淇淋，哧溜哧溜……,HeadAcco,commander_2220_icon,2,0,22,Commander_2220_N,,,,,,0,HairBinder2,0,0.2,"-0.059,0.662",326
2340,应援棒,为支持的偶像在夜晚点起星火，是粉丝的浪漫,BodyAcco,commander_2340_icon,4,0,23,Commander_2340_N,Commander_2340_0,Commander_2340_1,Commander_2340_2,Commander_2340_3,Commander_2340_4,0,BodyBinder1,0,0.3,"-0.071,-0.092","327,328,329,330,331,332"
2420,新星帽,为了纪念曾经存在的宇航机构而限量发售的复刻鸭舌帽。,HeadAcco,commander_2420_icon,2,0,24,Commander_2420_N,,,,,,0,HairBinder2,0,0.2,"-0.002,0.373",333
2520,快乐红蓝帽,天才在左，疯子在右。至于哪边是左，哪边是右，就要看你在哪个方向看了。,HeadAcco,commander_2520_icon,2,0,25,Commander_2520_N,,,,,,0,HairBinder2,0,0.2,"-0.089,0.416",334
2611,方便短发,短发并不优雅，但它能让你减少一点打理外貌的时间——在突袭战打响时，每一秒都性命攸关。,Head1,commander_2611_icon,1,1,26,Commander_2611_N,Commander_2611_0,Commander_2611_1,Commander_2611_2,Commander_2611_3,Commander_2611_4,0,,0,0.0,,"335,336,337,338,339,340"
2612,克己束发,在战乱中留着长发是一种祈愿，祈愿和平的到来，即使那时我们可能不再年轻……但仍然有权追求美丽。,Head2,commander_2612_icon,1,2,26,Commander_2612_N,Commander_2612_0,Commander_2612_1,Commander_2612_2,Commander_2612_3,Commander_2612_4,0,,0,0.0,,"341,342,343,344,345,346"
2620,血火饰品,挑选你想戴在头上的东西吧。它将展示你的信念，伴随你经历血与火，直到你凯旋……或者你的头颅也成为他人装饰的那天。,HeadAcco,commander_2620_icon,2,0,26,Commander_2620_N,Commander_2620_0,Commander_2620_1,Commander_2620_2,Commander_2620_3,Commander_2620_4,0,HairBinder2,0,0.2,"-0.205,0.250","347,348,349,350,351,352"
2631,守护者战衣,一件防护周密而且轻便的铠甲是有必要的。制作者将凯旋的祝福一针一线缝入领导者的铠甲，望你百战百胜，平安归来。,Body1,commander_2631_icon,3,1,26,Commander_2631_N,Commander_2631_0,Commander_2631_1,Commander_2631_2,Commander_2631_3,Commander_2631_4,0,,0,0.0,,"353,354,355,356,357,358"
2632,宣誓者战衣,一件防护周密而且牢固的铠甲是有必要的。它将与它保护着的你一同铭刻在历史上，见证你履行所有承诺，得到一切荣誉。,Body2,commander_2632_icon,3,2,26,Commander_2632_N,Commander_2632_0,Commander_2632_1,Commander_2632_2,Commander_2632_3,Commander_2632_4,0,,0,0.0,,"359,360,361,362,363,364"
2640,贴身武器,趁手且适用于战场的武器能拯救你的性命，也能在最后保全你的尊严。,BodyAcco,commander_2640_icon,4,0,26,Commander_2640_N,Commander_2640_0,Commander_2640_1,Commander_2640_2,Commander_2640_3,Commander_2640_4,0,BodyBinder1,0,0.2,"-0.167,0.254","365,366,367,368,369,370"
2651,守护者铠靴,虽然铠靴穿起来很麻烦，但却能保证你在战场上的生存率。在流矢从你的铠甲上弹开时，你是否会想起为你穿上它的人的祝福？,Foot1,commander_2651_icon,5,1,26,Commander_2651_N,Commander_2651_0,Commander_2651_1,Commander_2651_2,Commander_2651_3,Commander_2651_4,0,,0,0.0,,"371,372,373,374,375,376"
2652,宣誓者铠靴,虽然铠靴穿起来很麻烦，但却能保证你在战场上的生存率。在匕首从你的铠甲上滑开时，你是否会想起你活到最后的誓言？,Foot2,commander_2652_icon,5,2,26,Commander_2652_N,Commander_2652_0,Commander_2652_1,Commander_2652_2,Commander_2652_3,Commander_2652_4,0,,0,0.0,,"377,378,379,380,381,382"
2711,浪客马尾,先生，买下这根价值不菲的发带吧！即使你三天没有洗头，它也能让你看起来潇洒不羁。,Head1,commander_2711_icon,1,1,27,Commander_2711_N,Commander_2711_0,Commander_2711_1,Commander_2711_2,Commander_2711_3,Commander_2711_4,0,,0,0.0,,"383,384,385,386,387,388"
2712,持家马尾,小姐，买下这根缎带吧！虽然价格不高，但你的美丽足够让它也光辉四射了。,Head2,commander_2712_icon,1,2,27,Commander_2712_N,Commander_2712_0,Commander_2712_1,Commander_2712_2,Commander_2712_3,Commander_2712_4,0,,0,0.0,,"389,390,391,392,393,394"
2720,吟风者,它在你的头顶与风交谈，得知不曾记录在历史中的故事。,HeadAcco,commander_2720_icon,2,0,27,Commander_2720_N,Commander_2720_0,Commander_2720_1,Commander_2720_2,Commander_2720_3,Commander_2720_4,0,HairBinder2,0,0.2,"-0.040,0.268","395,396,397,398,399,400"
2731,执勤者制服,在乱世之中代表着保护者的衣装，现在也可以用来保护你可能疏于锻炼的肚子。,Body1,commander_2731_icon,3,1,27,Commander_2731_N,Commander_2731_0,Commander_2731_1,Commander_2731_2,Commander_2731_3,Commander_2731_4,0,,0,0.0,,"401,402,403,404,405,406"
2732,迎客新裙装,在闹市之中代表着本店引入新式甜品的围裙，现在只能衬托店主的优雅可爱了。,Body2,commander_2732_icon,3,2,27,Commander_2732_N,Commander_2732_0,Commander_2732_1,Commander_2732_2,Commander_2732_3,Commander_2732_4,0,,0,0.0,,"407,408,409,410,411,412"
2740,信念帜旗,闹市禁止噪音时，就只好用旗帜来表明自身的主张了！格里芬广告位绝赞招租中！,BodyAcco,commander_2740_icon,4,0,27,Commander_2740_N,Commander_2740_0,Commander_2740_1,Commander_2740_2,Commander_2740_3,Commander_2740_4,0,BodyBinder1,0,0.2,"-0.465,0.360","413,414,415,416,417,418"
2751,威严长袴,不用思考它用了几幅布，铺张浪费是平民们在经济发达时代才能享有的特权。,Foot1,commander_2751_icon,5,1,27,Commander_2751_N,Commander_2751_0,Commander_2751_1,Commander_2751_2,Commander_2751_3,Commander_2751_4,0,,0,0.0,,"419,420,421,422,423,424"
2752,便捷木屐,即使是最平价的木屐，也要比古代的做工更坚固。时代进步使人步伐稳定。,Foot2,commander_2752_icon,5,2,27,Commander_2752_N,Commander_2752_0,Commander_2752_1,Commander_2752_2,Commander_2752_3,Commander_2752_4,0,,0,0.0,,"425,426,427,428,429,430"
2820,抽象脸谱,极具东方特色的脸谱，在融入格里芬精神时似乎发生了奇妙的化学反应。,HeadAcco,commander_2820_icon,2,0,28,Commander_2820_N,Commander_2820_0,Commander_2820_1,Commander_2820_2,Commander_2820_3,Commander_2820_4,0,FaceBinder,0,0.2,"-0.024,0.160","431,432,433,434,435,436"
2920,魔物统领,指挥者总要留出一只眼睛，用来应对随时降临的无尽黑夜。,HeadAcco,commander_2920_icon,2,0,29,Commander_2920_N,Commander_2920_0,Commander_2920_1,Commander_2920_2,Commander_2920_3,Commander_2920_4,0,HairBinder2,0,0.2,"-0.089,0.147","437,438,439,440,441,442"
3011,发廊爆款短发,根据发廊推荐做的发型。混入人群最好的方法，就是对时尚随波逐流。,Head1,commander_3011_icon,1,1,30,Commander_3011_N,Commander_3011_0,Commander_3011_1,Commander_3011_2,Commander_3011_3,Commander_3011_4,0,,0,0.0,,"443,444,445,446,447,448"
3012,传统简便编发,根据时尚博主示范编的发型。混入人群最好的方法，就是把自己变成量产型美少女。,Head2,commander_3012_icon,1,2,30,Commander_3012_N,Commander_3012_0,Commander_3012_1,Commander_3012_2,Commander_3012_3,Commander_3012_4,0,,0,0.0,,"449,450,451,452,453,454"
3020,头部防风设备,时尚和实用性兼顾的设计才是好设计，这也许是帽子里镶着钢板的原因。,HeadAcco,commander_3020_icon,2,0,30,Commander_3020_N,Commander_3020_0,Commander_3020_1,Commander_3020_2,Commander_3020_3,Commander_3020_4,0,HairBinder2,0,0.2,"-0.064,0.376","455,456,457,458,459,460"
3031,战术冲锋衣（袖章款）,精工制作的战术冲锋衣，配备有反光条。夜晚可以用来标识同伴，也可以替同伴吸引敌方火力。,Body1,commander_3031_icon,3,1,30,Commander_3031_N,Commander_3031_0,Commander_3031_1,Commander_3031_2,Commander_3031_3,Commander_3031_4,0,,0,0.0,,"461,462,463,464,465,466"
3032,战术冲锋衣（印花款）,精工制作的战术冲锋衣，配备有荧光印花。夜晚可以用来标识同伴，也可以替同伴吸引敌方火力。,Body2,commander_3032_icon,3,2,30,Commander_3032_N,Commander_3032_0,Commander_3032_1,Commander_3032_2,Commander_3032_3,Commander_3032_4,0,,0,0.0,,"467,468,469,470,471,472"
