id,name,description,skin_theme,active_num,prize,type,icon
403,女中魁,落尽残红始吐芳//c佳名唤作百花王。竟夸天下无双艳//c独占人间第一香。,4,7,9403,外观·名片背景,2018newyear_02
501,忧郁新娘,一张表情与服装似乎并不配套的侧影。而正是这种错位感令它拥有被保留的价值。,5,3,9501,外观·头像,2018wedding_01
502,自宅警备队标志,又一个揭示了生活本来面目的标志。而“真相”，是否一定是真实的？,5,4,9502,家具·海报,2018wedding_03
503,婚礼用窗纱,每当看到窗帘上的花饰便能想起那甜蜜的一瞬——即使其中充斥着不属于自己的幸福。,5,5,9503,家具·地面装饰,2018wedding_02
504,大教堂,风格庄重的建筑，进入其中就不由自主地变得严肃起来。在这里许下的诺言，也许会是真心的。,5,6,9504,建设·基地背景,2018wedding_04
601,头像：周年特供格琳娜,和指挥官共同度过的一年真的很开心！下一年也请多多消费哦~,6,4,9601,外观·头像,2017oneyear_1
602,家具：钢之巨人,看起来宛如世界名画的墙壁挂饰……每次看到它都会觉得心情沉重。,6,6,9602,家具·挂饰,2017oneyear_2
603,名片：我们的一年,谨记，这张被处理过的照片不能被原本应该出现在左侧的一些重要人物看见。,6,8,9603,外观·名片背景,2017oneyear_3
701,钻石密使,合格的特工在潜入前会详细设定好自己的身份，代表自己的精致卡片也是专业的象征。,7,4,9701,家具·挂饰,2018twoyear_1
702,时光王座,世上没有永恒的王座。权力宛如细沙，会一点点地从指缝中流走。,7,7,9702,家具·地面装饰,2018twoyear_2
703,头像：最佳交易,在各自的心愿达成之后，无论是买家还是卖家，都会露出愉快的笑容。,7,9,9703,外观·头像,2018twoyear_3
801,头像：贵族试作品,……嗯，总算是做出来一杯马马虎虎的茶。指挥官，您觉得口感如何呢？,8,3,9801,外观·头像,2018jxnp_1
802,名片：女仆实习会,虽说多半不会像真正的女仆咖啡厅那样得到完美的服务……//n不过在这里能看到她们的另一面，也算是值回票价了。,8,4,9802,外观·名片背景,2018jxnp_2
803,背景：温馨咖啡厅,无论是人类还是人形，累了的话，就来这里休息休息吧。,8,5,9803,建设·基地背景,2018jxnp_3
901,名片：沙滩派对,格里芬的人形们意外赢来了短暂又和平的夏日假期，但是这片海滩似乎藏有什么秘密……人形们真的能度过“和平”的假期吗？,9,3,9901,外观·名片背景,2018beach_1
902,头像：沙滩朋克2064,G41！开始了！主人请看我的表现吧！,9,6,9902,外观·头像,2018beach_2
903,家具：潜水服菲儿,作为海滩奇遇的宝贵纪念，菲儿获得了全新的装束……虽说不知道什么时候能派上用场，不过只要FAL喜欢就好啦！,9,9,9903,家具·地面装饰,2018beach_3
1001,头像：南瓜串串,在悠哉与认真的边缘来回滑行的人形S.A.T.8，这次又有什么事件能将她推向心智天平的另一边？,10,3,91001,外观·头像,2018WS_1
1002,家具：幽灵陷阱，反噬！,天下无敌网络第一的MDR遭遇的史上最大危机？！这究竟是谁做的！如此……大快人心？（MDR：求删此贴啦！,10,4,91002,家具·挂饰,2018WS_2
1003,家具：魔女之森壁纸,拍摄于一次格里芬私下的万圣节聚会，出现在这张照片上的人形……在当天晚上全部都……换回正常的服装了。,10,5,91003,家具·挂饰,2018WS_3
1004,名片：枪炮与边箱,节日装扮还是真实怪物？我就像你摩托上的拖箱一样，你看不到我，我却永远注视着你，直到下一站……,10,6,91004,外观·名片背景,2018WS_4
1101,家具：雪精灵小夜灯,有着雪花色彩的圣诞小夜灯，在这个冬天全心全意温暖你的世界——指挥官，加一份可爱的人形微笑，需要吗？,11,3,91101,家具·地面装饰,2018Xmas_1
1102,头像：圣诞晨间女王,圣诞前夕包揽了全部折扣最优解的人形，虽然带着温和的笑容，但她的过去会是平安夜里最不平安的秘密。,11,5,91102,外观·头像,2018Xmas_2
1103,家具：绯红涡轮,如果圣诞节是将快乐送给所有人的日子，那成为谁又有什么重要的呢？至少她一定是收获快乐最多的人形了！,11,6,91103,家具·挂饰,2018Xmas_3
1104,名片：喧嚣圣诞屋,没有哪个圣诞是能平安度过的，但喧嚣就意味着大家的团聚，少许冲突摩擦都只是让这个小屋更加温暖。,11,7,91104,外观·名片背景,2018Xmas_4
1201,家具：充电仿生猪,仿生小猪外形的移动电源，可以在紧急情况下为人形快速充能，针对各种环境而携带了多种适配器……“适配器？啥是配器？”MP5问。,12,3,91201,家具·地面装饰,xn2019_1
1202,家具：门神窗花,95式根据今年年夜目击的事件而制作的窗花，“我不会请两个大年夜冻傻了的笨蛋当门神的，该回哪回哪去吧”，97式看完之后说。,12,5,91202,家具·挂饰,xn2019_2
1203,头像：紫雨心,“新年快乐，希望明年也能保持这个状态，让我期待一下吧。”,12,6,91203,外观·头像,xn2019_3
1204,名片：紫雨心,“虽然跟他人共享美酒是快乐的事，但有时一人独饮也是种奢侈的享受呢。”,12,7,91204,外观·名片背景,xn2019_4
1301,家具：魔法梳妆台,当技术达到极致，便与魔法无异。没有人形能够拒绝这种能让自己变得美丽的魔法，所以她们会长久地坐在这里。,13,3,91301,家具·地面装饰,wv2019_1
1302,头像：最美的笑颜,抓拍这张照片的最佳机会，就是在笑容的主人真心感到幸福的时候。,13,4,91302,外观·头像,wv2019_2
1303,家具：甜蜜选择,人生不存在命运，只存在一个个选择。但是经常也会有不想要选择的时刻……不过，选择全部，也是一种选择吧。,13,5,91303,家具·挂饰,wv2019_3
1304,名片：幸福使命,她是传递幸福与希望的使者，而只有赋予她使命的人才能见到她真正的模样。,13,6,91304,外观·名片背景,wv2019_4
1401,家具：战术隐匿箱,当代罗密欧与朱丽叶相见已经用不着爬阳台了，只需装进隐匿箱，对方就可以像坐在列车的座位上一样，安心踏上私奔的旅途。,14,3,91401,家具·地面装饰,znq2019_1
1402,家具：舞会少女行动,少女站在舞台上的样子着实让人眼前一亮，如果每个鸡飞狗跳的庆典中都有这项保留节目，那么即使是闹剧也令人不得不期待了。,14,6,91402,家具·挂饰,znq2019_2
1403,头像：“博得头彩”,“愿、愿赌服输！就算是名次最后的那个，我也会把惩罚好好完成给你看！”,14,9,91403,外观·头像,znq2019_3
1501,家具：定制橘喵救生员,新型号的橘喵救生员，携带精良装备前来报道！可在汪洋大海中，这只柔弱小猫咪又能救得了谁呢？它连自己都救不了。,15,3,91501,宿舍·宠物,yz2019_1
1502,头像：夏日留影,那个女孩的幸运值仍旧没能陪她来到这片海域，但是……捕捉到她从容的笑颜时，也许她的幸运都转移到了我的身上也说不定吧。,15,5,91502,外观·头像,yz2019_2
1503,家具：美人鱼立牌,为了缓解没有见到美人鱼的失落，指挥官特地为人形们定制了美人鱼的立牌，不过脸大的人形还是不要太用力钻进去比较好……,15,6,91503,家具·地面装饰,yz2019_3
1504,名片：R式过肩摔,欸！去海边就不要玩牌了吧！不如试试刺激的体育竞技？要说有什么项目的话……嘿嘿，这招如何呢！,15,7,91504,外观·名片背景,yz2019_4
1601,家具：“来玩游戏吗？”,“……姐姐？不用怕，我能做得到的事情真的很多，除了保护你，我还能……嘻嘻，一起来玩游戏吧？”,16,3,91601,家具·挂饰,ws2019_1
1602,家具：太空绅士狗,“我，跳舞巨星，打钱。”“格琳娜？！你新买的狗语翻译器居然真的有用！……不是，你快来看看这狗语翻译器说了什么可怕的话！”,16,4,91602,宿舍·宠物,ws2019_2
1603,头像：“不给糖也别捣蛋”,“呜……我明明为了超市优惠券已经那么努力了……为什么骗了我还要这样吓我！”,16,6,91603,外观·头像,ws2019_3
1604,名片：魔物盛宴,“夜幕降临，正是魔物从格里芬的建筑阴影中爬出来的时刻……”“——不行！卡！再来一条！不好好做的话，你的苏打水、还有你的优惠券我可不会给你们的！”,16,8,91604,外观·名片背景,ws2019_4
1701,家具：满载礼物的圣诞袜,看上去朴素无比的圣诞袜，然而它的里面却装着无数人的好意与关心——”所以躲在这绝对很安全“潜入格里芬的某个兵蚁如此思考着，希望它能够顺利将礼物送达。,17,3,91701,家具·挂饰,Xmas2019_1
1702,家具：银狐使用说明书,为圣诞节特制的机甲“Vixen”的专属说明……尽管并不能翱翔于天际，但依然可以将礼物送到大家的身边——真的很努力呀！,17,5,91702,家具·挂饰,Xmas2019_2
1703,头像：槲寄生的微笑,如雪一般纯洁无垢的少女守护着槲寄生美丽的传说：在寒冷的冬天，能够予人温暖的除了热汤以外，还有少女的微笑。,17,6,91703,外观·头像,Xmas2019_3
1704,名片：弗洛伦汀的圣诞树,圣诞节的乐趣绝不是在于一个人，而是在于能让大家都开心地笑出来而种下的那棵圣诞树……圣诞夜最让人喜欢的就是这一点喔！,17,7,91704,外观·名片背景,Xmas2019_4
1801,家具：福临贴纸,寄托着众人形美好心愿的贴纸，不知被谁贴在了指挥官的办公室门外。,18,3,91801,家具·挂饰,NewYear2020_01
1802,家具：太空飞椅,这是一把神奇的飞椅，你只需要放松地坐上去，再合上双眼在心中默数五秒，然后一切都会改变……,18,5,91802,家具·地面装饰,NewYear2020_02
1803,头像：执烛夜话,窗外是吵闹不休的鞭炮齐鸣，屋内是辗转难眠的新年长夜，不如索性燃起一支蜡烛寻一意中人共话一夜？,18,7,91803,外观·头像,NewYear2020_03
1804,名片：新岁时礼,还有什么能比小憩片刻后醒来发现自己被礼物包围更美好的新年礼物吗？此刻的指挥官认为答案是否定的。,18,9,91804,外观·名片背景,NewYear2020_04
1901,家具：秘密记录仪,记录真相的东西往往不在明面上，猜猜这里有几个摄像头？,19,3,91901,家具·地面装饰,WhiteV2020_01
1902,头像：无价真心,她愿意在所有事件发生时将你往更好的方向理解——这种思维方式被她称为“信任”。,19,5,91902,外观·头像,WhiteV2020_02
1903,名片：完美结局,一切都在这一天平稳地落下了帷幕。那些投注在你身上的真心，你想好要如何回应了吗？,19,7,91903,外观·名片背景,WhiteV2020_03
1904,名片：星夜见证者,流星落下时，另一双眼睛也记录下了这片星空——她的眼睛可比RMB93的相机好用多了。,19,9,91904,外观·名片背景,WhiteV2020_04
2001,家具：“驻足”,即使死亡让我停下，也请用这种方式记住我……我曾活过啊。,20,3,92001,家具·挂饰,Anniversary2020_01
2002,家具：“概念”,下次宣传时请千万分清宴会和聚会，这两个的规模差别太大了,20,6,92002,家具·地面装饰,Anniversary2020_02
2003,头像：“目标”,不要犹豫，不要被干扰。想想看，你的目标到底是什么？,20,9,92003,外观·头像,Anniversary2020_03
2004,名片：“争论”,不可能！一定是我的分法更好，我要在论坛发起投票！——Zas M76,20,12,92004,外观·名片背景,Anniversary2020_04
