id,name,rank,bonus_picture,k_bonus,bonus_number,description,bonus_description,code,is_showed,placement,years
49,梯队收藏,4,0,8:2000,18,以御宅族收藏品为主题的家具组合，无论是更硬派还是更可爱的收藏品，这是你独一无二的爱好，人生中最属于自己的宝贵部分。,同宿舍内布置8件可获得额外舒适度。,sz2018_deco_08_A_icon,1,1,2018
50,婚礼现场,5,3018,"6:2000,9:5000,12:8000",16,婚礼拍摄现场为主题的家具组合，如你所见，只是个拍摄现场……影片、仪式、生活，什么又是真实的？,集齐后宿舍内会出现意想不到的现象。,hl2018_deco_03_icon,1,1,2018
52,游鱼飞雁,5,3019,"6:2000,9:5000,12:8000",13,民俗庭园为主题的家具组合，在幽静清雅的庭园中享受人生吧，尤其是这样的夜晚并不便宜。,集齐后宿舍内会出现意想不到的现象。,ty2018_bed_01_icon,1,1,2018
53,漫展风波,4,0,8:2000,18,以动漫展会为主题的家具组合，如果人形提前五十年出现在世上会是什么景象？集齐这一切你就会知道啦。,同宿舍内布置8件可获得额外舒适度。,mz2018_deco_08_icon,1,1,2018
54,周六夜狂欢,5,3020,"6:2000,9:5000,12:8000",15,以二周年纪念狂欢为主题的家具组合，并不是只有今晚可以庆祝，但是明晚，我们能否知道自己会在哪里呢？,集齐后宿舍内会出现意想不到的现象。,znq2018_deco_03_icon,1,1,2018
55,游乐园之星,5,3021,"6:2000,9:5000,12:8000",13,游乐园为主题的家具组合，廉价的爆米花和刺激的过山车就能换来简单的快乐，前提是你真的已经很快乐了。,集齐后宿舍内会出现意想不到的现象。,etj2018_deco_11_icon,1,1,2018
56,南洋小馆,5,3023,"6:2000,9:5000,12:8000",15,以南洋旅馆为主题的家具组合，也许你会希望从这样的旅馆中醒来，享受一个不方便但很舒适的清晨。,集齐后宿舍内会出现意想不到的现象。,jxnp2018_deco_02_icon,1,1,2018
57,幸福起点站,4,0,8:2000,14,以机场候机厅为主题的家具组合，体验航班到达前的时光吧，下一刻我们就会离它们非常遥远了——物理层面上。,同宿舍内布置8件可获得额外舒适度。,hjdt2018_walldeco_01_A_icon,1,1,2018
58,海滩大亨,5,3025,"6:2000,9:5000,12:8000",12,海滩娱乐设施为主题的家具，大海的确很美妙，但人类还是会想办法加以改造，娱乐就像调料，让人分不清真正需要什么。,集齐后宿舍内会出现意想不到的现象。,swimpool2018_deco_04_icon,1,1,2018
59,音乐节,5,3026,"6:2000,9:5000,12:8000",13,以摇滚音乐节为主题的家具组合，这也许是一场文明而虚伪的室内节目，不太欢迎没清过嗓子的重金属主唱。,集齐后宿舍内会出现意想不到的现象。,rockroll2018_deco_01_icon,1,1,2018
60,幽灵古堡,5,3028,"6:2000,9:5000,12:8000",15,以古堡为主题的家具组合，只呆一晚上就好，希望你会喜欢并留在这里，否则……你就必须留在这里。,集齐后宿舍内会出现意想不到的现象。,halloween2018_deco_01_icon,1,1,2018
61,幸福汉堡,4,0,8:2000,18,以汉堡店为主题的家具组合，提供轻松的气氛和充足的热量，两者在这个时代都意味着幸福。,同宿舍内布置8件可获得额外舒适度。,noshery2018_walldeco_01_icon,1,1,2018
62,偶像行动,5,3029,"6:2000,9:5000,12:8000",15,偶像现场为主题的家具组合，努力为大家带来美好的梦想和握手券，然后带回一些现金吧！,集齐后宿舍内会出现意想不到的现象。,idol2018_deco_04_icon,1,1,2018
63,糖果馆奇妙夜,5,3030,"6:2000,9:5000,12:8000",14,以糖果博物馆为主题的家具组合，圣诞是糖果和礼物的节日，爱上它吧，因为今夜我们无事可做。,集齐后宿舍内会出现意想不到的现象。,Xmas2018_deco_tree_icon,1,1,2018
64,跨年神社,5,3032,"6:2000,9:5000,12:8000",15,以新年神社为主题的家具组合，踏着新年钟声来初诣吧，沉浸在万千嘈杂的愿望中，你想聆听一下神明的建议吗？,集齐后宿舍内会出现意想不到的现象。,newyear2019_deco_11_A_icon,1,1,2019
65,唐人街,5,3038,"6:2000,9:5000,12:8000",14,以唐人街为主题的家具组合，来到新大陆开拓的人形们，来共享冒险的艰辛与荣光吧！,集齐后宿舍内会出现意想不到的现象。,xn2019_deco_02_icon,1,1,2019
66,巧克力总裁,5,3040,"6:2000,9:5000,12:8000",15,以巧克力手工屋为主题的家具组合，“欢迎！成为其中的一部分吧！——我是说，呃……享受其中的意思。”主人如是说。,集齐后宿舍内会出现意想不到的现象。,wv2019_deco_06_icon,1,1,2019
67,妖精集市,5,3041,"6:2000,9:5000,12:8000",14,以古代集市为主题的家具组合，只有在今夜的暗月之下，冒险者们才会聚集在一起，交换彼此的信念，准备启程吧！,集齐后宿舍内会出现意想不到的现象。,yjss2019_deco_02_icon,1,1,2019
68,古典音乐厅,5,3042,"6:2000,9:5000,12:8000",14,以古典音乐会为主题的家具组合，即使我们的生活总会遇到各种各样的意外，但是我们还有音乐。就在此时此刻，尽情感受这份超越了语言的美吧！,集齐后宿舍内会出现意想不到的现象。,znq2019_deco_09_A_icon,1,1,2019
69,Jill公寓,4,3043,8:2000,18,以某位少女的公寓为主题的家具组合，也许这个世界乱七八糟，但只要拥有这个属于自己的盒子，就能得到片刻的安宁。用各式各样的东西填满这个房间吧，此时此刻，它便是“家”。,同宿舍内布置8件可获得额外舒适度。,jill2019_walldeco_01_icon,3,1,2019
70,像素咖啡厅,5,3043,"6:2000,9:5000,12:8000",18,赛博朋克风酒馆主题的家具组合，这些乱七八糟的元素堆叠在一起会产生奇妙的化学反应。也许它们会像真正的酒精一样，让人沉醉其中吧。,集齐后宿舍内会出现意想不到的现象。,bar2019_deco_05_A_icon,3,1,2019
71,拼装世界,5,3052,"6:2000,9:5000,12:8000",13,以某种品牌的积木为主题的家具组合。在这风格独特的房间里，忘记外界的诸多烦恼，专注于放飞想象力吧！毕竟这样的机会是很难得的，不是吗？,集齐后宿舍内会出现意想不到的现象。,etj2019_walldeco_01_A_icon,1,1,2019
72,灰色订制品,5,0,"6:2000,9:2500,12:3000",8,在不可言说的市场中流通的特别商品，无论是哪一件都有别出心裁的设计，并且能根据顾客的需求加以改造。//n享受踏入灰色地带的感觉吧——这里的每一件设备，都是为了你存在的。,收集更多战利品，可获得额外舒适度。,Stepmania_icon,1,0,0
73,水族馆,5,3054,"6:2000,9:5000,12:8000",14,以水族馆为主题的家具组合。也许是和天文馆并列的最适合约会场所，但是切记，如果脱口而出“恶心”和“看起来好好吃”的话，可是会被嫌弃的。,集齐后宿舍内会出现意想不到的现象。,aquarium2019_wall_icon,1,1,2019
74,百鬼夜行,5,3055,"6:2000,9:5000,12:8000",13,以百鬼夜行之时的神社为主题的家具组合。这是进行试胆大会的最佳时机和最佳地点，炎炎夏日可不要错过这个降温的好机会。,集齐后宿舍内会出现意想不到的现象。,yukata2019_deco_04_A_icon,1,1,2019
75,不良天台,5,3056,"6:2000,9:5000,12:8000",14,以不良少年的据点为主题的家具组合。长大并不会使你变得更完美，记忆才会。,集齐后宿舍内会出现意想不到的现象。,bltt2019_deco02_icon,1,1,2019
76,1408惊魂夜,5,3059,"6:2000,9:5000,12:8000",14,以冒险家的笔记内容为主题的家具组合。机缘巧合得到的在万圣夜失踪的冒险家的手记，希望有人能从蛛丝马迹中寻得这位在危机之时仍不忘打字的勇者——虽然不知道能寻回的，是他的一部分，还是什么。,集齐后宿舍内会出现意想不到的现象。,hallo2019_wall_icon,1,1,2019
77,巅峰时刻,5,3061,"6:2000,9:5000,12:8000",13,以标志着自己“巅峰时刻”为主题的家具组合，看着这些终极收藏，是不是唤起了过去的回忆？还是说这幅景象仅仅是对未来的眺望呢？,集齐后宿舍内会出现意想不到的现象。,racing2019_deco_01_FL_icon,1,1,2019
78,铁血平安夜,5,3063,"6:2000,9:5000,12:8000",13,以铁血人形们的圣诞节为主题的家具组合。以一只兵蚁保存的录像为基础还原了那一天的布置，她们也会在静谧的雪夜里祈求平安吗？,集齐后宿舍内会出现意想不到的现象。,Xmas2019_01_icon,1,1,2019
79,不夜街市,5,3064,"6:2000,9:5000,12:8000",14,以夜晚街市为主题的家具组合。河川与建筑也许不清楚新年的意义，但今年它们也一样守望着人们，注视人类喜悦的面容。,集齐后宿舍内会出现意想不到的现象。,zy2020_light_02_icon,1,1,2020
80,瑞叶苑,5,3065,"6:2000,9:5000,12:8000",13,以雪后庭园为主题的家具组合。在能吸收噪音的雪全部化掉之前，感受这份难得的安宁吧。,集齐后宿舍内会出现意想不到的现象。,SPF2020_wall_icon,1,1,2020
81,珍藏版纪念,5,0,0,6,,,harp_2019_icon,3,0,2019
82,失乐堂,5,3066,"6:2000,9:5000,12:8000",13,以废弃教堂为主题的家具组合，在这静谧的山林之间，隐藏着一座废弃的小教堂。虽然这里已经多年没有举办过婚礼，但是时不时还会有一些人来到这里，在神父遗留的笔记中书写愁绪，祭奠自己的过去……,集齐后宿舍内会出现意想不到的现象。,WhiteV2020_deco_01_icon,1,1,2020
83,午夜狂欢,5,3068,"6:2000,9:5000,12:8000",13,以少女的睡衣派对为主题的家具组合。据说格里芬的少女们常常在周末的晚上换上睡衣聚在一起消遣时光。也许只有在那时候，她们才会感觉到生活的另一面。,集齐后宿舍内会出现意想不到的现象。,Pajamas2020_deco_01_icon,1,1,2020
84,辉煌剧场,5,3069,"6:2000,9:5000,12:8000",13,以入职周年纪念会场为主题的家具组合。庆祝归庆祝，明天也要记得按时上班哦。,集齐后宿舍内会出现意想不到的现象。,Anniversary2020_deco_03_icon,1,1,2020
85,利立浦特之森,5,3070,"6:2000,9:5000,12:8000",13,以阳光密林为主题的家具组合。据说来到这里的大人最终都将重新回到童年的时光，什么？老板明天就要终稿？可我只是个孩子呀……,集齐后宿舍内会出现意想不到的现象。,Children2020_deco_05_icon,1,1,2020
86,芝华塔尼欧,5,3072,"6:2000,9:5000,12:8000",13,以某座小岛为主题的家具组合。据说这里是一片没有回忆，没有未来，只有温暖的现在的海洋，也许当我能放下一切的时候，我会在这里生活——如果真的有那一天的话。,集齐后宿舍内会出现意想不到的现象。,Island2020_deco_01_icon,1,1,2020
87,羁绊的证明,5,0,0,5,以格里芬成员之间的羁绊为主题的家具组合。争吵、欢笑、泪水……那些曾对人形来说意义重大的事情也许都会随着心智云图的一次次清理升级而变成平凡的往事，但总会有一些奇妙的见证者幸存下来，并在时间的长河中屹立不倒。,,Fetter_Repository_icon,1,0,0
88,古雅城池,5,3073,"6:2000,9:5000,12:8000",13,以中世纪某座小城为主题的家具组合。骑士精神与人形底层条款唯一的不同，在于人类可以违背自己设下的规则，而人形不能。,集齐后宿舍内会出现意想不到的现象。,MidCentury2020_deco_06_icon,1,1,2020
89,格里芬居酒屋,4,0,8:2000,13,以日本酒屋为主题的家具组合。做什么都于事无补的时候，不如一杯浊酒喝个尽兴，再大哭一场吧。,同宿舍内布置8件可获得额外舒适度。,Izakaya2020_deco_01_icon,1,1,2020
90,古街漫步,5,3074,"6:2000,9:5000,12:8000",14,以日出之国传统建筑为主题的家具组合。当日落西山、钟声隐没之后，你又会在樱花树下与等待的人相遇。,集齐后宿舍内会出现意想不到的现象。,Edo2020_deco_06_icon,1,1,2020
91,安全屋,5,3077,"6:2000,9:5000,12:8000",14,以末日安全屋为主题的家具组合。不要开门，即使物资已所剩无几……,集齐后宿舍内会出现意想不到的现象。,Halloween2020_deco_23_icon,1,1,2020
92,防空据点,5,3078,"6:2000,9:5000,12:8000",13,以特工行动临时据点为主题的家具组合。即便是临时据点，这里也是为你准备的人能拿出的最好的设施。,集齐后宿舍内会出现意想不到的现象。,Agent2020_deco_01_icon,1,1,2020
93,飞跃冰原,5,3079,"6:2000,9:5000,12:8000",13,以滑雪场为主题的家具组合。只要它看上去像真的，摸起来像真的，那它就是真的雪地，而不是人工造景。,集齐后宿舍内会出现意想不到的现象。,Christmas2020_deco_13_icon,1,1,2020
94,寒酥入茶,5,3080,"6:2000,9:5000,12:8000",13,以风雅堂厅为主题的家具组合。以新雪煮旧茶，冬与春交接时方得生命之趣。,集齐后宿舍内会出现意想不到的现象。,NewYear2021_deco_21_icon,1,1,2021
95,年货街,5,3081,"6:2000,9:5000,12:8000",13,以购买年货为主题的家具组合。这可是打折的年货，快抢啊！,集齐后宿舍内会出现意想不到的现象。,SpringFes2021_deco_01_icon,1,1,2021
96,漆黑誓言,5,3082,"6:2000,9:5000,12:8000",13,以特殊婚礼为主题的家具组合。即使今天就是结束，也请不要离开最爱的人……,集齐后宿舍内会出现意想不到的现象。,WhiteV2021_deco_05_icon,1,1,2021
97,拉弗伯雷棋室,5,3083,"6:2000,9:5000,12:8000",13,以拉弗伯雷兵棋为主题的家具组合。这里是对弈的最佳场合，愿智谋与好运眷顾你的棋局！,集齐后宿舍内会出现意想不到的现象。,MiniGameFlightChess_deco_01_icon,1,1,0
98,酌夜一夜,5,3084,"6:2000,9:5000,12:8000",12,以格里芬五周年庆典酒会为主题的家具组合。举起酒杯，共饮夜色。,集齐后宿舍内会出现意想不到的现象。,Anniversary2021_deco_02_icon,1,1,2021
99,燃情篝火,5,3089,"6:2000,9:5000,12:8000",13,以篝火晚会为主题的家具组合。在更大的欢喜或悲伤到来之前，尽情享受吧。,集齐后宿舍内会出现意想不到的现象。,Summer2021_deco_01_icon,1,1,2021
100,镜中新生,5,3091,"6:2000,9:5000,12:8000",14,以理发店为主题的家具组合。每一次改变造型，都是一个崭新自我的诞生，在这里，我们吻别昨日的回忆，亦赞颂新生的勇气。,集齐后宿舍内会出现意想不到的现象。,Halloween2021_deco_08_icon,1,1,2021
101,飞驰冰场,5,3093,"6:2000,9:5000,12:8000",13,以冰壶运动会为主题的家具组合。当运动会的激情褪去，遗留在赛场上的物件依旧神采飞扬地讲述着过去的精彩瞬间。,集齐后宿舍内会出现意想不到的现象。,WhiteV2022_deco_25_icon,1,1,2022
102,橘猫号餐厅,5,3094,"6:2000,9:5000,12:8000",12,以海洋自助餐厅为主题的家具组合。虽说是格琳娜小姐盛情举办的AA制聚餐派对，但营业执照上好像写着她的名字，是错觉吗？,集齐后宿舍内会出现意想不到的现象。,Anniversary2022_deco_03_icon,1,1,2022
103,疾影狂澜,5,3095,"6:2000,9:5000,12:8000",12,以网球比赛为主题的家具组合。格里芬人形挥拍出的网球速度是每秒两百米，单用视觉已经无法捕捉，我又该用怎样的速度，才能躲开她们的致命一击？,集齐后宿舍内会出现意想不到的现象。,Children2022_deco_01_icon,1,1,2022
299,宠物,5,0,0,10,,,SP_CatHouseLabel01_icon,0,0,0
300,海报,5,0,,136,换装礼包附赠的海报,,poster_wa2000_halloween_icon,1,0,0
301,小黑屋,5,0,,0,想要藏起来的东西丢进来,,poster_wa2000_halloween_icon,0,0,0
400,附属房间设施,5,0,,100,,,xsh2017_deco_02_icon,0,0,2017
500,人形往事,5,0,0,7,人形们各种各样事件中获取的纪念品，或者是彼此，或者是指挥官，那些都是永远记录在心智云图中的宝贵记忆//n,,poster_2016xmas_icon,2,0,2016
600,平凡的站牌,5,0,0,28,以格里芬部门站牌为主题的家具组合。用来标识部门的站牌，平平无奇且占墙面积大，但从没有谁想过摘下它换上别的。或许就像某位格里芬雇员梦中念叨过的家乡菜，不管多么平庸甚至让人厌烦，但是跟随它的味道总能找到回家的路。,,Fetter_Stations_icon,1,0,0
