id,text
2310601,指挥官，我已经这么小心避免您的目光了
2310602,可不管发生什么
2310603,您一直都在默默地注视着我
2310604,我已经……开始喜欢上您那样的眼神了     ❤
2310701,指挥官，我光是一个人负重前行，就已经精疲力尽了
2310702,但只要有您在身边的话，那份重担……
2310703,也变得没那么可怕了。
2310704,我无法承受的那部分……
2310705,指挥官，今后也能继续拜托您吗？ 
2430101,哦？您已经打算、要永远服侍我？
2430102,那么伸出手来
2430103,这份契约，将永远烙在你我的血脉中……
2430104,接下来，哼哼，请多指教
2430201,哼，结果到最后，还是找上我了啊
2430202,已经不记得是哪次的表现吸引了你
2430203,不过事到如今也无所谓了吧……
2430204,来，再靠近一点，你现在……就是我的了……
2430301,？长官，今天找我有什么事啊？
2430302,哈？你没搞错吧！我把你当同伴
2430303,你……你却想……
2430304,也不是讨厌，可总得让我……准备一下吧……
2430401,……噗，干嘛啊，第一看见您这个样子
2430402,要我说的话，这真不是个明知的决定呢……
2430403,不过
2430404,也许我的现实，已经因您变得疯狂了吧……❤
2430501,指挥官，原来您为了这件事叫我出来啊。
2430502,为什么不早点告诉我？这样的话我就可以多做一点准备
2430503,明明是那么重要的事……
2430504,不用考虑太多吗？
2430505,我明白了，也许像这样简单一点，会比较好……❤
2430601,指挥官，您这么坚定地选了我
2430602,真不怕我把家里的东西都卖光吗？
2430603,哈哈，那就这样吧！
2430604,你的就是我的，我的还是我的！
2430801,又要请我吃大餐吗？那我就不客气啦！
2430802,嗯？在这之前，您说什么？
2430803,……什么？！居然在餐桌上谈这种事，太狡猾啦！
2430804,指挥官，这让我怎么拒绝呀！
2430901,真没想到，到头来，您还是做了出格的事情……
2430902,不过既然相处了那么久
2430903,我也就通融一下，破例为您修改一次原则吧
2430904,但是，仅此一次，绝对不许反悔哦。
2431001,指挥官，比起那种称号
2431002,能够获得您的认可，并陪在您的身边才更重要
2431003,请让我铭记这一刻吧
2431004,真希望这份记忆，能永远持续下去……
3820801,请用双手握住圣杯，跟我一起宣读誓言
3820802,无论贫穷还是富贵、疾病还是健康、美貌还是丑陋
3820803,我都愿意爱她、尊敬她、守护她
3820804,矢志不渝，直至死亡将我们分开
3820805,如若违背誓言，我的灵魂将永远徘徊在痛苦的深渊之中
3820806,就像那些用泪水在神父的笔记中留下痕迹的人们一样
